;band_name;album_link
324;bernardo;https://www.cdbaby.com/cd/bernardo
325;bernard pulham & gabriel keen;https://www.cdbaby.com/cd/bernardpulhamandgabrielk
326;bernard weinstock;https://www.cdbaby.com/cd/bernardweinstock
327;bernard woma;https://www.cdbaby.com/cd/bernardwoma
328;mark bernat;https://www.cdbaby.com/cd/bernat
329;the bernd brothers;https://www.cdbaby.com/cd/berndbros3
330;berne';https://www.cdbaby.com/cd/berne
331;berne;https://www.cdbaby.com/cd/bernemusic
332;the bernetta jones band;https://www.cdbaby.com/cd/bernettajones
333;mark berney;https://www.cdbaby.com/cd/berney
334;bernhard drax;https://www.cdbaby.com/cd/bernharddrax2
335;bernhard lackner;https://www.cdbaby.com/cd/bernhardlackner
336;alan bernhoft;https://www.cdbaby.com/cd/bernhoft
337;berni philbin;https://www.cdbaby.com/cd/berni
338;bernice patterson;https://www.cdbaby.com/cd/bernicep
339;bernie alan band;https://www.cdbaby.com/cd/berniealanband
340;critical element;https://www.cdbaby.com/cd/criticalelement
341;critical;https://www.cdbaby.com/cd/criticalfl
342;critical fuse;https://www.cdbaby.com/cd/criticalfuse2
343;critical mass;https://www.cdbaby.com/cd/criticalmass
344;critical me;https://www.cdbaby.com/cd/criticalme
345;the critics;https://www.cdbaby.com/cd/critics
346;rob critney;https://www.cdbaby.com/cd/critney
347;crooning critters;https://www.cdbaby.com/cd/critters
348;criz la mente demente;https://www.cdbaby.com/cd/crizlamentedemente
349;crizzy & the punx;https://www.cdbaby.com/cd/crizzy1
350;carl ramesses mc donald;https://www.cdbaby.com/cd/crm
351;cindy rivka marshall;https://www.cdbaby.com/cd/crmarshall2
352;cr;https://www.cdbaby.com/cd/crmusic3
353;city rhythm orchestra;https://www.cdbaby.com/cd/cro1
354;carla holden;https://www.cdbaby.com/cd/carlaholden
355;diablitos musical;https://www.cdbaby.com/cd/diablitos
356;carla hunt;https://www.cdbaby.com/cd/CarlaHunt
357;carl alfino;https://www.cdbaby.com/cd/carlalfino
358;carla kihlstedt, matthias bossi & dan rathbun;https://www.cdbaby.com/cd/carlamatthiasdan
359;alessandro benvenuti;https://www.cdbaby.com/cd/benvenuti
360;ben wakeman;https://www.cdbaby.com/cd/benwakeman3
361;ben walker;https://www.cdbaby.com/cd/benwalker6
362;ben walter;https://www.cdbaby.com/cd/benwalter
363;ben walz;https://www.cdbaby.com/cd/benwalz
364;ben warren;https://www.cdbaby.com/cd/benwarren
365;ben weaver;https://www.cdbaby.com/cd/benweaver
366;ben wiley payton;https://www.cdbaby.com/cd/benwileypayton
367;ben williams;https://www.cdbaby.com/cd/benwilliams
368;ben willis;https://www.cdbaby.com/cd/benwillis
369;ben wilson;https://www.cdbaby.com/cd/benwilson
370;ben winship;https://www.cdbaby.com/cd/benwinship1
371;john lowell & ben winship;https://www.cdbaby.com/cd/benwinship2
372;ben wisch;https://www.cdbaby.com/cd/benwisch
373;ben woodward;https://www.cdbaby.com/cd/benwoodward22
374;benyahu;https://www.cdbaby.com/cd/benyahu
375;benyaro;https://www.cdbaby.com/cd/benyaro
376;beny blaq;https://www.cdbaby.com/cd/benyblaq
377;benyomen;https://www.cdbaby.com/cd/benyomen1
378;daniel benzali;https://www.cdbaby.com/cd/benzali
379;the benzene ring;https://www.cdbaby.com/cd/benzenering1
380;benzo;https://www.cdbaby.com/cd/benzo6
